payment_id,customer_id,amount,payment_method,subscription_type,status,failure_reason,retry_count,bank_response,recoverable,payment_date
PAY000079,CUST9947,9883,Wallet,Monthly,FAILED,Invalid CVV,3,Blocked,0,2026-08-12 04:00:38.959140
PAY000080,CUST1475,9042,Net Banking,Quarterly,SUCCESS,,3,Approved,0,2026-06-06 05:02:38.959140
PAY000081,CUST8657,13347,Credit Card,Annual,SUCCESS,,1,Approved,0,2026-08-09 19:27:38.959140
PAY000082,CUST8022,13010,Credit Card,Quarterly,SUCCESS,,0,Approved,0,2026-03-25 02:00:38.959140
PAY000083,CUST4467,8623,Net Banking,Quarterly,SUCCESS,,3,Approved,0,2026-05-08 09:27:38.959140
PAY000084,CUST7906,12522,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-07-24 16:48:38.959140
PAY000085,CUST6733,24643,Credit Card,Annual,SUCCESS,,0,Approved,0,2026-08-30 02:14:38.959140
PAY000086,CUST1508,21455,Credit Card,Monthly,SUCCESS,,0,Approved,0,2026-07-25 02:31:38.959140
PAY000087,CUST2874,20458,Wallet,Monthly,FAILED,Bank Timeout,1,Processing Error,1,2026-04-22 05:27:38.959140
PAY000088,CUST2876,8495,Credit Card,Quarterly,SUCCESS,,2,Approved,0,2026-04-09 08:18:38.959140
PAY000089,CUST7149,940,Net Banking,Annual,SUCCESS,,2,Approved,0,2026-06-22 14:55:38.959140
PAY000090,CUST5941,19500,Wallet,Monthly,SUCCESS,,1,Approved,0,2026-03-28 08:26:38.959140
PAY000091,CUST2129,18643,Wallet,Annual,FAILED,Invalid CVV,0,Timeout,0,2026-05-12 00:11:38.959140
PAY000092,CUST8102,13863,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-03-29 00:20:38.959140
PAY000093,CUST5425,15163,Wallet,Annual,FAILED,Bank Timeout,1,Blocked,1,2026-05-28 01:54:38.959140
PAY000094,CUST5022,15331,UPI,Quarterly,FAILED,Fraud Suspected,3,Timeout,0,2026-08-07 02:55:38.959140
PAY000095,CUST1470,8089,Net Banking,Quarterly,FAILED,Invalid CVV,3,Timeout,0,2026-06-21 12:56:38.959140
PAY000096,CUST5232,7049,Debit Card,Quarterly,SUCCESS,,2,Approved,0,2026-08-02 01:00:38.959140
PAY000097,CUST4130,23075,UPI,Monthly,FAILED,Insufficient Funds,2,Blocked,1,2026-06-18 23:31:38.959140
PAY000098,CUST8800,16108,Net Banking,Quarterly,SUCCESS,,1,Approved,0,2026-07-13 12:33:38.959140
PAY000099,CUST6016,3148,Wallet,Quarterly,FAILED,Invalid CVV,2,Declined,0,2026-04-19 03:24:38.959140
PAY000100,CUST6419,17496,Debit Card,Annual,SUCCESS,,2,Approved,0,2026-05-26 06:17:38.959140
PAY000101,CUST2976,10146,Credit Card,Quarterly,SUCCESS,,2,Approved,0,2026-04-20 18:28:38.959140
PAY000102,CUST4545,17658,Net Banking,Quarterly,SUCCESS,,1,Approved,0,2026-04-13 16:05:38.959140
PAY000103,CUST4180,17290,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-03-28 02:26:38.959140
PAY000104,CUST9751,10003,Credit Card,Quarterly,SUCCESS,,0,Approved,0,2026-07-16 16:36:38.959140
PAY000105,CUST3068,1885,Net Banking,Monthly,SUCCESS,,2,Approved,0,2026-07-14 18:17:38.959140
PAY000106,CUST6582,18909,Credit Card,Monthly,FAILED,UPI Failure,2,Processing Error,1,2026-06-03 06:03:38.959140
PAY000107,CUST2070,15753,Net Banking,Quarterly,SUCCESS,,0,Approved,0,2026-08-06 11:06:38.959140
PAY000108,CUST3444,20724,Wallet,Quarterly,SUCCESS,,0,Approved,0,2026-04-06 10:08:38.959140
PAY000109,CUST7818,8231,Wallet,Annual,SUCCESS,,0,Approved,0,2026-06-19 09:29:38.959140
PAY000110,CUST8025,7494,Debit Card,Annual,FAILED,UPI Failure,3,Timeout,1,2026-05-30 19:33:38.959140
PAY000111,CUST4404,20075,Credit Card,Quarterly,SUCCESS,,0,Approved,0,2026-08-29 07:19:38.959140
PAY000112,CUST2229,5245,Credit Card,Monthly,SUCCESS,,1,Approved,0,2026-04-10 10:38:38.959140
PAY000113,CUST1534,22688,Credit Card,Quarterly,SUCCESS,,3,Approved,0,2026-05-01 19:45:38.959140
PAY000114,CUST4824,23134,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-03-22 18:13:38.959140
PAY000115,CUST9922,6581,Credit Card,Annual,SUCCESS,,3,Approved,0,2026-03-30 16:41:38.959140
PAY000116,CUST1977,8803,Credit Card,Quarterly,SUCCESS,,1,Approved,0,2026-03-22 19:13:38.959140
PAY000117,CUST3037,18750,Net Banking,Annual,SUCCESS,,2,Approved,0,2026-05-28 17:55:38.959140
PAY000118,CUST9847,13288,Net Banking,Quarterly,SUCCESS,,2,Approved,0,2026-06-08 21:49:38.959140
PAY000119,CUST6280,1405,Wallet,Quarterly,SUCCESS,,3,Approved,0,2026-07-21 12:27:38.959140
PAY000120,CUST5415,7600,Wallet,Monthly,SUCCESS,,0,Approved,0,2026-07-27 00:31:38.959140
PAY000121,CUST3973,5839,Wallet,Quarterly,FAILED,UPI Failure,3,Timeout,1,2026-06-12 06:37:38.959140
PAY000122,CUST6700,16211,Net Banking,Quarterly,SUCCESS,,0,Approved,0,2026-06-03 08:44:38.959140
PAY000123,CUST7744,3526,Net Banking,Quarterly,SUCCESS,,1,Approved,0,2026-05-08 20:10:38.959140
PAY000124,CUST2442,13221,Debit Card,Quarterly,SUCCESS,,0,Approved,0,2026-05-31 14:23:38.959140
PAY000125,CUST9889,13343,Net Banking,Quarterly,SUCCESS,,0,Approved,0,2026-07-07 12:35:38.959140
PAY000126,CUST9167,17087,Net Banking,Monthly,SUCCESS,,2,Approved,0,2026-07-01 03:33:38.959140
PAY000127,CUST5719,18095,Net Banking,Annual,SUCCESS,,1,Approved,0,2026-08-25 16:17:38.959140
PAY000128,CUST3594,1044,Debit Card,Annual,SUCCESS,,1,Approved,0,2026-07-17 00:19:38.959140
PAY000129,CUST2858,13468,Net Banking,Monthly,SUCCESS,,0,Approved,0,2026-04-19 16:57:38.959140
PAY000130,CUST5781,5144,Wallet,Annual,SUCCESS,,3,Approved,0,2026-08-26 14:03:38.959140
PAY000131,CUST8483,15909,Wallet,Monthly,SUCCESS,,3,Approved,0,2026-04-23 04:06:38.959140
PAY000132,CUST2143,19739,Debit Card,Quarterly,SUCCESS,,1,Approved,0,2026-08-14 02:13:38.959140
PAY000133,CUST1042,16736,Debit Card,Annual,SUCCESS,,2,Approved,0,2026-08-06 04:16:38.959140
PAY000134,CUST3434,19331,Net Banking,Annual,SUCCESS,,3,Approved,0,2026-08-14 07:36:38.959140
PAY000135,CUST6272,10992,Credit Card,Annual,SUCCESS,,3,Approved,0,2026-05-31 16:39:38.959140
PAY000136,CUST7730,12648,UPI,Quarterly,SUCCESS,,1,Approved,0,2026-08-12 15:12:38.959140
PAY000137,CUST3492,23207,Net Banking,Monthly,SUCCESS,,3,Approved,0,2026-05-19 02:02:38.959140
PAY000138,CUST2644,19438,Net Banking,Monthly,SUCCESS,,2,Approved,0,2026-08-15 03:00:38.959140
PAY000139,CUST3361,15071,Net Banking,Annual,SUCCESS,,0,Approved,0,2026-07-19 07:38:38.959140
PAY000140,CUST7512,2550,UPI,Quarterly,FAILED,Fraud Suspected,3,Timeout,0,2026-07-30 01:46:38.959140
PAY000141,CUST1588,17584,Wallet,Monthly,FAILED,UPI Failure,3,Blocked,1,2026-05-06 10:44:38.959140
PAY000142,CUST2480,22525,Net Banking,Monthly,SUCCESS,,2,Approved,0,2026-04-20 05:08:38.959140
PAY000143,CUST1474,23164,UPI,Quarterly,FAILED,Bank Timeout,0,Timeout,1,2026-05-29 13:41:38.959140
PAY000144,CUST5000,9712,Wallet,Quarterly,FAILED,Invalid CVV,2,Declined,0,2026-05-17 00:56:38.959140
PAY000145,CUST2293,5999,Wallet,Quarterly,SUCCESS,,1,Approved,0,2026-04-10 16:07:38.959140
PAY000146,CUST3344,7990,Credit Card,Quarterly,SUCCESS,,3,Approved,0,2026-08-22 23:26:38.959140
PAY000147,CUST1153,15158,Net Banking,Quarterly,SUCCESS,,2,Approved,0,2026-07-09 04:42:38.959140
PAY000148,CUST6661,5275,Wallet,Quarterly,SUCCESS,,0,Approved,0,2026-05-29 05:10:38.959140
PAY000149,CUST5949,14002,Credit Card,Quarterly,SUCCESS,,2,Approved,0,2026-05-31 23:10:38.959140
PAY000150,CUST5847,3593,Debit Card,Monthly,FAILED,User Cancelled,1,Blocked,0,2026-05-18 05:26:38.959140
PAY000151,CUST1803,21667,Wallet,Annual,FAILED,Insufficient Funds,3,Blocked,1,2026-04-28 18:27:38.959140
PAY000152,CUST6772,9477,Credit Card,Annual,SUCCESS,,1,Approved,0,2026-06-28 07:32:38.959140
PAY000153,CUST2591,8311,UPI,Quarterly,SUCCESS,,1,Approved,0,2026-07-02 04:05:38.959140
PAY000154,CUST5835,1192,Debit Card,Annual,FAILED,Bank Timeout,2,Approved,1,2026-07-21 02:57:38.959140
PAY000155,CUST9837,6678,Debit Card,Annual,SUCCESS,,1,Approved,0,2026-07-30 23:33:38.959140
PAY000156,CUST8894,9029,Debit Card,Annual,SUCCESS,,1,Approved,0,2026-04-25 13:57:38.959140
PAY000157,CUST7511,3872,Wallet,Quarterly,FAILED,Bank Timeout,3,Declined,1,2026-03-23 12:13:38.959140
PAY000158,CUST9791,13028,UPI,Quarterly,SUCCESS,,0,Approved,0,2026-04-26 22:40:38.959140
PAY000159,CUST7242,24642,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-06-24 05:12:38.959140
PAY000160,CUST6374,15548,Wallet,Monthly,SUCCESS,,0,Approved,0,2026-06-30 14:04:38.959140
PAY000161,CUST5951,20919,Net Banking,Monthly,SUCCESS,,3,Approved,0,2026-08-22 08:24:38.959140
PAY000162,CUST2902,1318,UPI,Monthly,SUCCESS,,2,Approved,0,2026-06-07 11:32:38.959140
PAY000163,CUST7866,4544,Wallet,Annual,FAILED,User Cancelled,3,Blocked,0,2026-05-31 09:13:38.959140
PAY000164,CUST9017,13693,Wallet,Quarterly,SUCCESS,,0,Approved,0,2026-08-08 13:41:38.959140
PAY000165,CUST8264,9265,Net Banking,Monthly,FAILED,User Cancelled,0,Declined,0,2026-07-13 11:06:38.959140
PAY000166,CUST7523,3354,Debit Card,Monthly,FAILED,User Cancelled,2,Approved,0,2026-06-16 22:02:38.959140
PAY000167,CUST1349,14999,UPI,Quarterly,FAILED,Network Error,0,Blocked,1,2026-07-08 10:54:38.959140
PAY000168,CUST4394,4225,Wallet,Monthly,SUCCESS,,1,Approved,0,2026-03-22 06:59:38.959140
PAY000169,CUST1046,7733,Debit Card,Monthly,FAILED,Bank Timeout,2,Blocked,1,2026-07-28 18:30:38.959140
PAY000170,CUST1422,17800,Credit Card,Monthly,FAILED,Bank Timeout,2,Approved,1,2026-08-02 03:59:38.959140
PAY000171,CUST3854,7895,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-03-12 16:10:38.959140
PAY000172,CUST2041,13893,Net Banking,Quarterly,SUCCESS,,0,Approved,0,2026-07-23 13:05:38.959140
PAY000173,CUST1710,16916,Wallet,Quarterly,FAILED,Network Error,0,Blocked,1,2026-05-31 02:04:38.959140
PAY000174,CUST7580,1119,Net Banking,Annual,SUCCESS,,0,Approved,0,2026-06-04 23:56:38.959140
PAY000175,CUST2323,23442,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-03-23 04:19:38.959140
PAY000176,CUST9984,4234,Debit Card,Quarterly,SUCCESS,,2,Approved,0,2026-07-01 10:55:38.959140
PAY000177,CUST2874,17484,Wallet,Annual,FAILED,Invalid CVV,2,Approved,0,2026-05-31 09:32:38.959140
PAY000178,CUST6553,14191,Net Banking,Quarterly,FAILED,Network Error,3,Processing Error,1,2026-08-18 11:21:38.959140
PAY000179,CUST6120,3214,Debit Card,Quarterly,SUCCESS,,2,Approved,0,2026-05-26 11:47:38.959140
PAY000180,CUST2527,22604,Net Banking,Monthly,FAILED,Card Expired,3,Approved,0,2026-03-22 00:32:38.959140
PAY000181,CUST1982,12309,Wallet,Annual,SUCCESS,,1,Approved,0,2026-06-19 02:03:38.959140
PAY000182,CUST6793,22053,Net Banking,Annual,SUCCESS,,0,Approved,0,2026-05-23 14:05:38.959140
PAY000183,CUST2697,9524,Wallet,Annual,SUCCESS,,2,Approved,0,2026-05-12 19:35:38.959140
PAY000184,CUST2773,21618,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-04-19 14:58:38.959140
PAY000185,CUST8030,9227,Wallet,Annual,SUCCESS,,1,Approved,0,2026-08-03 18:02:38.959140
PAY000186,CUST5381,21158,UPI,Monthly,SUCCESS,,0,Approved,0,2026-06-28 15:58:38.959140
PAY000187,CUST1100,10223,Credit Card,Monthly,SUCCESS,,2,Approved,0,2026-05-12 16:52:38.959140
PAY000188,CUST1502,13231,UPI,Annual,SUCCESS,,0,Approved,0,2026-04-04 15:05:38.959140
PAY000189,CUST6585,12426,Credit Card,Quarterly,SUCCESS,,3,Approved,0,2026-05-31 09:14:38.959140
PAY000190,CUST1861,10728,Credit Card,Monthly,SUCCESS,,0,Approved,0,2026-08-17 14:36:38.959140
PAY000191,CUST8957,1729,Wallet,Quarterly,FAILED,UPI Failure,0,Processing Error,1,2026-04-28 08:04:38.959140
PAY000192,CUST8043,7162,UPI,Quarterly,SUCCESS,,0,Approved,0,2026-05-11 15:18:38.959140
PAY000193,CUST6053,19534,UPI,Monthly,SUCCESS,,3,Approved,0,2026-06-13 17:26:38.959140
PAY000194,CUST4349,19737,Debit Card,Monthly,SUCCESS,,0,Approved,0,2026-03-11 04:49:38.959140
PAY000195,CUST9149,8471,Net Banking,Monthly,FAILED,Card Expired,2,Approved,0,2026-05-08 12:49:38.959140
PAY000196,CUST6802,17550,UPI,Quarterly,SUCCESS,,1,Approved,0,2026-06-08 20:54:38.959140
PAY000197,CUST6129,1485,Wallet,Quarterly,FAILED,UPI Failure,3,Approved,1,2026-03-13 05:06:38.959140
PAY000198,CUST2887,23347,Net Banking,Monthly,SUCCESS,,3,Approved,0,2026-05-01 12:08:38.959140
PAY000199,CUST8155,5730,UPI,Monthly,FAILED,User Cancelled,3,Approved,0,2026-08-08 06:24:38.959140
PAY000200,CUST6083,13220,Debit Card,Monthly,SUCCESS,,0,Approved,0,2026-05-20 20:21:38.959140
PAY000201,CUST2868,5608,Wallet,Annual,SUCCESS,,0,Approved,0,2026-06-10 17:34:38.959140
PAY000202,CUST3419,11547,Credit Card,Monthly,SUCCESS,,2,Approved,0,2026-07-20 05:12:38.959140
PAY000203,CUST3504,6563,UPI,Monthly,SUCCESS,,1,Approved,0,2026-06-27 11:09:38.959140
PAY000204,CUST6295,20675,Debit Card,Monthly,FAILED,UPI Failure,3,Blocked,1,2026-06-02 06:16:38.959140
PAY000205,CUST5961,15464,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-07-02 17:47:38.959140
PAY000206,CUST8565,16723,Net Banking,Monthly,SUCCESS,,0,Approved,0,2026-05-05 07:25:38.959140
PAY000207,CUST2479,9505,Wallet,Annual,SUCCESS,,0,Approved,0,2026-07-05 03:49:38.959140
PAY000208,CUST4084,15261,Debit Card,Annual,SUCCESS,,0,Approved,0,2026-05-30 16:08:38.959140
PAY000209,CUST2695,5042,Debit Card,Annual,SUCCESS,,0,Approved,0,2026-05-30 19:35:38.959140
PAY000210,CUST5059,21271,Net Banking,Quarterly,SUCCESS,,1,Approved,0,2026-03-16 22:14:38.959140
PAY000211,CUST7108,20081,Debit Card,Quarterly,SUCCESS,,1,Approved,0,2026-05-15 01:07:38.959140
PAY000212,CUST6482,11186,UPI,Quarterly,SUCCESS,,0,Approved,0,2026-07-31 11:25:38.959140
PAY000213,CUST5128,22328,Wallet,Monthly,SUCCESS,,3,Approved,0,2026-04-30 12:41:38.959140
PAY000214,CUST6731,19194,Debit Card,Annual,SUCCESS,,1,Approved,0,2026-08-23 16:33:38.959140
PAY000215,CUST2388,12942,Debit Card,Annual,SUCCESS,,1,Approved,0,2026-06-26 03:00:38.959140
PAY000216,CUST9624,10862,UPI,Annual,SUCCESS,,1,Approved,0,2026-07-09 19:00:38.959140
PAY000217,CUST6940,16761,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-03-13 02:53:38.959140
PAY000218,CUST3538,11296,UPI,Quarterly,FAILED,Network Error,3,Declined,1,2026-04-13 18:07:38.959140
PAY000219,CUST3147,3413,Wallet,Quarterly,FAILED,User Cancelled,0,Blocked,0,2026-07-08 07:14:38.959140
PAY000220,CUST8170,6024,UPI,Quarterly,SUCCESS,,1,Approved,0,2026-07-19 02:07:38.959140
PAY000221,CUST5668,23678,Net Banking,Monthly,SUCCESS,,1,Approved,0,2026-05-29 15:58:38.959140
PAY000222,CUST4178,10239,Debit Card,Annual,SUCCESS,,3,Approved,0,2026-08-21 08:45:38.959140
PAY000223,CUST9239,14536,Wallet,Quarterly,FAILED,Fraud Suspected,3,Processing Error,0,2026-07-27 20:57:38.959140
PAY000224,CUST8873,6642,Debit Card,Annual,FAILED,Fraud Suspected,1,Approved,0,2026-08-15 17:26:38.959140
PAY000225,CUST5469,23410,Net Banking,Annual,FAILED,Card Expired,0,Declined,0,2026-04-30 16:41:38.959140
PAY000226,CUST4637,14434,Net Banking,Quarterly,SUCCESS,,0,Approved,0,2026-08-29 02:10:38.959140
PAY000227,CUST7326,13694,UPI,Quarterly,FAILED,User Cancelled,0,Declined,0,2026-05-20 23:22:38.959140
PAY000228,CUST6493,10541,Credit Card,Monthly,SUCCESS,,0,Approved,0,2026-08-09 13:39:38.959140
PAY000229,CUST8685,15580,Net Banking,Annual,SUCCESS,,1,Approved,0,2026-07-25 22:39:38.959140
PAY000230,CUST4533,2695,Credit Card,Annual,SUCCESS,,0,Approved,0,2026-04-25 09:22:38.959140
PAY000231,CUST5934,20050,UPI,Monthly,FAILED,Fraud Suspected,3,Declined,0,2026-03-30 01:00:38.959140
PAY000232,CUST2816,21036,Net Banking,Annual,SUCCESS,,3,Approved,0,2026-03-21 05:38:38.959140
PAY000233,CUST3352,20806,Debit Card,Quarterly,SUCCESS,,1,Approved,0,2026-07-18 14:36:38.959140
PAY000234,CUST7825,11660,Credit Card,Annual,SUCCESS,,1,Approved,0,2026-06-21 16:30:38.959140
PAY000235,CUST9618,17252,Wallet,Annual,SUCCESS,,2,Approved,0,2026-03-22 02:55:38.959140
PAY000236,CUST7338,16732,Debit Card,Quarterly,FAILED,UPI Failure,0,Approved,1,2026-05-19 21:09:38.959140
